rank,name,nationality,team,points,rider_url
107,WELLENS Tim,BE,UAE Team Emirates - XRG,316.0,https://www.procyclingstats.com/rider/tim-wellens
108,MULUBRHAN Henok,ER,XDS Astana Team,314.0,https://www.procyclingstats.com/rider/henok-mulubrhan
109,GROßSCHARTNER Felix,AT,UAE Team Emirates - XRG,313.0,https://www.procyclingstats.com/rider/felix-grossschartner
110,BAUHAUS Phil,DE,Bahrain - Victorious,311.0,https://www.procyclingstats.com/rider/phil-bauhaus
111,RUBIO Einer,CO,Movistar Team,311.0,https://www.procyclingstats.com/rider/einer-rubio
112,O'CONNOR Ben,AU,Team Jayco AlUla,310.0,https://www.procyclingstats.com/rider/ben-o-connor
113,WRIGHT Fred,GB,Bahrain - Victorious,306.0,https://www.procyclingstats.com/rider/alfred-wright
114,POELS Wout,NL,XDS Astana Team,304.0,https://www.procyclingstats.com/rider/wout-poels
115,CASTRILLO Pablo,ES,Movistar Team,301.0,https://www.procyclingstats.com/rider/pablo-castrillo-zapater
116,PELLIZZARI Giulio,IT,Red Bull - BORA - hansgrohe,298.0,https://www.procyclingstats.com/rider/giulio-pellizzari
117,STRONG Corbin,NZ,Israel - Premier Tech,296.0,https://www.procyclingstats.com/rider/corbin-strong
118,DVERSNES Fredrik,NO,Uno-X Mobility,294.0,https://www.procyclingstats.com/rider/fredrik-dversnes
119,WELSFORD Sam,AU,Red Bull - BORA - hansgrohe,289.0,https://www.procyclingstats.com/rider/sam-welsford
120,BLIKRA Erlend,NO,Uno-X Mobility,289.0,https://www.procyclingstats.com/rider/erlend-blikra
121,TEJADA Harold,CO,XDS Astana Team,287.0,https://www.procyclingstats.com/rider/harold-tejada
122,DÉMARE Arnaud,FR,Arkéa - B&B Hotels,286.0,https://www.procyclingstats.com/rider/arnaud-demare
123,RICCITELLO Matthew,US,Israel - Premier Tech,284.0,https://www.procyclingstats.com/rider/matthew-riccitello
124,RODRÍGUEZ Cristián,ES,Arkéa - B&B Hotels,282.0,https://www.procyclingstats.com/rider/cristian-rodriguez
125,JOHANNESSEN Anders Halland,NO,Uno-X Mobility,282.0,https://www.procyclingstats.com/rider/anders-halland-johannessen
126,POOLE Max,GB,Team Picnic PostNL,281.0,https://www.procyclingstats.com/rider/max-poole
127,SALBY Alexander,DK,Li Ning Star,281.0,https://www.procyclingstats.com/rider/alexander-salby
128,KULSET Johannes,NO,Uno-X Mobility,280.0,https://www.procyclingstats.com/rider/johannes-kulset
