fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_nationality,pcs_team,pcs_url,points_per_credit,value_category
C. VAN UDEN,Team Picnic PostNL,Sprinters,13,True,0.7329545454545454,DEN OTTER Jesse,1782.0,4.0,NL,Wielerploeg Groot Amsterdam,https://www.procyclingstats.com/rider/jesse-den-otter,0.3076923076923077,Poor
D. HOWSON,Q36.5 Pro Cycling Team,Climbers,13,True,1.1,HOWSON Damien,300.0,163.0,AU,Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/damien-howson,12.538461538461538,Average
G. SILVA COUSSAN,Caja Rural-Seguros RGA,All-rounders,13,True,1.0,SILVA Guillermo Thomas,71.0,490.0,UY,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/guillermo-thomas-silva-coussan,37.69230769230769,Great
L. VERGALLITO,Alpecin - Deceuninck,Climbers,13,True,1.1,VERGALLITO Luca,456.0,93.0,IT,Alpecin - Deceuninck,https://www.procyclingstats.com/rider/luca-vergallito,7.153846153846154,Poor
J. LECERF,Soudal Quick-Step,Climbers,13,True,1.0,LECERF Junior,92.0,410.0,BE,Soudal Quick-Step,https://www.procyclingstats.com/rider/junior-lecerf,31.53846153846154,Good
B. JUNGELS,Ineos Grenadiers,All-rounders,13,True,1.0,JUNGELS Bob,498.0,82.0,LU,INEOS Grenadiers,https://www.procyclingstats.com/rider/bob-jungels,6.3076923076923075,Poor
M. FRIGO,Israël - Premier Tech,Climbers,13,True,1.0921052631578947,FRIGO Marco,163.0,280.0,IT,Israel - Premier Tech,https://www.procyclingstats.com/rider/marco-frigo,21.53846153846154,Good
A. MARIT,Intermarché - Wanty,Sprinters,13,True,1.0,MARIT Arne,249.0,200.0,BE,Intermarché - Wanty,https://www.procyclingstats.com/rider/arne-marit,15.384615384615385,Average
C. BERTHET,Decathlon AG2R La Mondiale Team,Climbers,13,True,1.0,BERTHET Clément,113.0,364.0,FR,Decathlon AG2R La Mondiale Team,https://www.procyclingstats.com/rider/clement-berthet,28.0,Good
F. FISHER - BLACK,Red Bull - Bora - Hansgrohe,Climbers,13,True,1.0,FISHER-BLACK Finn,84.0,433.0,NZ,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/finn-fisher-black,33.30769230769231,Good
G. STEINHAUSER,EF Education - Easypost,All-rounders,13,True,1.1,STEINHAUSER Georg,388.0,113.0,DE,EF Education - EasyPost,https://www.procyclingstats.com/rider/georg-steinhauser,8.692307692307692,Poor
J. HERRADA,Cofidis,All-rounders,13,True,1.1,HERRADA Jesús,252.0,197.0,ES,Cofidis,https://www.procyclingstats.com/rider/jesus-herrada-lopez,15.153846153846153,Average
A. FAGUNDEZ LIMA,Burgos-BH,Climbers,13,True,1.0,FAGÚNDEZ Eric Antonio,210.0,229.0,UY,Burgos Burpellet BH,https://www.procyclingstats.com/rider/eric-antonio-fagundez,17.615384615384617,Average
J. DIAZ GALLEGO,Burgos-BH,Climbers,13,True,1.0,DÍAZ José Manuel,198.0,242.0,ES,Burgos Burpellet BH,https://www.procyclingstats.com/rider/jose-manuel-diaz-gallego,18.615384615384617,Average
S. HIGUITA GARCIA,XDS Astana Team,Climbers,13,True,1.0,HIGUITA Sergio,212.0,228.0,CO,XDS Astana Team,https://www.procyclingstats.com/rider/sergio-higuita,17.53846153846154,Average
E. BUCHMANN,Cofidis,Climbers,13,True,1.0,BUCHMANN Emanuel,268.0,186.0,DE,Cofidis,https://www.procyclingstats.com/rider/emanuel-buchmann,14.307692307692308,Average
J. ROMO OLIVER,Movistar Team,Climbers,13,True,1.0,ROMO Javier,78.0,463.0,ES,Movistar Team,https://www.procyclingstats.com/rider/javier-romo,35.61538461538461,Great
T. GRUEL,Groupama - FDJ,Sprinters,12,True,1.0,GRUEL Thibaud,121.0,354.0,FR,Groupama - FDJ,https://www.procyclingstats.com/rider/thibaud-gruel,29.5,Good
R. CAVAGNA,Groupama - FDJ,All-rounders,12,True,1.0,CAVAGNA Rémi,601.0,58.0,FR,Groupama - FDJ,https://www.procyclingstats.com/rider/remi-cavagna,4.833333333333333,Poor
E. VERNON,Israël - Premier Tech,Sprinters,12,True,1.0921052631578947,VERNON Ethan,223.0,221.0,GB,Israel - Premier Tech,https://www.procyclingstats.com/rider/ethan-vernon,18.416666666666668,Average
A. RYAN,EF Education - Easypost,Climbers,12,True,1.1,RYAN Archie,287.0,170.0,IE,EF Education - EasyPost,https://www.procyclingstats.com/rider/archie-ryan,14.166666666666666,Average
D. HOOLE,Lidl-Trek,All-rounders,12,True,1.0,HOOLE Daan,222.0,221.0,NL,Lidl - Trek,https://www.procyclingstats.com/rider/daan-hoole,18.416666666666668,Average
M. KWIATKOWSKI,Ineos Grenadiers,All-rounders,12,True,1.1,KWIATKOWSKI Michał,384.0,116.0,PL,INEOS Grenadiers,https://www.procyclingstats.com/rider/michal-kwiatkowski,9.666666666666666,Poor
A. BAGIOLI,Lidl-Trek,Climbers,12,True,1.1,BAGIOLI Andrea,94.0,409.0,IT,Lidl - Trek,https://www.procyclingstats.com/rider/andrea-bagioli,34.083333333333336,Good
G. BENNETT,Israël - Premier Tech,Climbers,12,True,1.0,BENNETT George,414.0,105.0,NZ,Israel - Premier Tech,https://www.procyclingstats.com/rider/george-bennett,8.75,Poor
