fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_points_12m,pcs_nationality,pcs_team,pcs_url,wins_2026,value_points,points_per_credit,value_category
L. LAMPERTI,EF Education - Easypost,Sprinters,12,True,1.1,LAMPERTI Luke,142.0,255.0,294.0,US,EF Education - EasyPost,https://www.procyclingstats.com/rider/luke-lamperti,2,262.8,24.090000000000003,Good
J. PARRA CUERDA,Caja Rural-Seguros RGA,Leaders,12,True,1.0,PARRA José Félix,226.0,178.0,227.0,ES,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/jose-felix-parra,0,187.8,15.65,Average
L. VAN EETVELT,Lotto Intermarché,Climbers,12,True,1.0,VAN EETVELT Lennert,189.0,209.0,209.0,BE,Lotto Intermarché,https://www.procyclingstats.com/rider/lennert-van-eetvelt,0,209.0,17.416666666666668,Average
E. JEANNIERE,TotalEnergies,Sprinters,12,True,1.0,JEANNIÈRE Emilien,123.0,278.0,758.0,FR,TotalEnergies,https://www.procyclingstats.com/rider/emilien-jeanniere,0,374.0,31.166666666666668,Good
D. BALLERINI,XDS Astana Team,All-rounders,12,True,1.0,BALLERINI Davide,206.0,196.0,424.0,IT,XDS Astana Team,https://www.procyclingstats.com/rider/davide-ballerini,2,241.6,22.14666666666667,Average
A. KRON,Uno-X Mobility,All-rounders,12,True,1.1,KRON Andreas,127.0,268.0,302.0,DK,Uno-X Mobility,https://www.procyclingstats.com/rider/andreas-kron,0,274.8,22.900000000000002,Good
S. BISSEGGER,Decathlon CMA CGM Team,All-rounders,12,True,1.0,BISSEGGER Stefan,346.0,111.0,151.0,CH,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/stefan-bissegger,0,119.0,9.916666666666666,Poor
M. VALGREN,EF Education - Easypost,All-rounders,12,True,1.1,VALGREN Michael,103.0,313.0,367.0,DK,EF Education - EasyPost,https://www.procyclingstats.com/rider/michael-valgren-andersen,2,323.8,29.68166666666667,Good
N. PRODHOMME,Decathlon CMA CGM Team,Climbers,12,True,1.0,PRODHOMME Nicolas,500.0,66.0,355.0,FR,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/nicolas-prodhomme,0,123.8,10.316666666666666,Poor
L. DE PLUS,Netcompany Ineos,Climbers,12,True,1.0,DE PLUS Laurens,816.0,32.0,32.0,BE,Netcompany INEOS,https://www.procyclingstats.com/rider/laurens-de-plus,0,32.0,2.6666666666666665,Poor
T. WELLENS,UAE Team Emirates XRG,All-rounders,12,True,1.0,WELLENS Tim,266.0,155.0,514.0,BE,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/tim-wellens,1,226.8,19.845000000000002,Average
J. ABRAHAMSEN,Uno-X Mobility,All-rounders,12,True,1.0,ABRAHAMSEN Jonas,131.0,267.0,582.0,NO,Uno-X Mobility,https://www.procyclingstats.com/rider/jonas-abrahamsen,0,330.0,27.5,Good
M. TRENTIN,Tudor Pro Cycling Team,Sprinters,12,True,1.0,TRENTIN Matteo,110.0,296.0,642.0,IT,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/matteo-trentin,0,365.2,30.433333333333334,Good
F. GROSSSCHARTNER,UAE Team Emirates XRG,Climbers,12,True,1.0,GROßSCHARTNER Felix,179.0,218.0,398.0,AT,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/felix-grossschartner,1,254.0,22.225,Average
J. STUYVEN,Soudal Quick-Step,All-rounders,12,True,1.0,STUYVEN Jasper,28.0,564.0,730.0,BE,Soudal Quick-Step,https://www.procyclingstats.com/rider/jasper-stuyven,0,597.2,49.76666666666667,Great
M. VAN GILS,Red Bull - BORA - hansgrohe,All-rounders,12,True,1.0,VAN GILS Maxim,283.0,144.0,280.0,BE,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/maxim-van-gils,2,171.2,15.693333333333333,Average
M. KWIATKOWSKI,Netcompany Ineos,All-rounders,12,True,1.1,KWIATKOWSKI Michał,584.0,55.0,165.0,PL,Netcompany INEOS,https://www.procyclingstats.com/rider/michal-kwiatkowski,2,77.0,7.0583333333333345,Poor
I. IZAGIRRE INSAUSTI,Cofidis,Climbers,12,True,1.0,IZAGIRRE Ion,22.0,707.0,934.0,ES,Cofidis,https://www.procyclingstats.com/rider/ion-izagirre,1,752.4,65.835,Excellent
A. WRIGHT,Pinarello-Q.36.5 Pro Cycling Team,All-rounders,12,True,1.0,WRIGHT Fred,202.0,200.0,546.0,GB,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/alfred-wright,1,269.2,23.555,Good
