name,points_12m
ADRIÀ Roger,184.0
FABBRO Matteo,183.0
HOOLE Daan,183.0
JOHANNINK Jelle,182.0
STORK Florian,182.0
KÜNG Stefan,180.0
EDDY Patrick,180.0
KAMP Alexander,179.0
EENKHOORN Pascal,179.0
AERTS Toon,177.0
LANDA Mikel,177.0
EIKING Odd Christian,177.0
CHUMIL Sergio Geovani,177.0
MOLLEMA Bauke,176.0
NEILANDS Krists,175.0
ROLLAND Brieuc,175.0
KELDERMAN Wilco,174.0
GLOAG Thomas,174.0
DECOMBLE Maxime,173.0
POELS Wout,172.0
RIKUNOV Petr,171.0
MAGLI Filippo,171.0
CEPEDA Jefferson Alexander,170.0
MONIQUET Sylvain,169.0
DONOVAN Mark,169.0
TOLIO Alex,168.0
MÜLLER Tobias,168.0
KWIATKOWSKI Michał,165.0
BENNETT George,164.0
BOL Cees,164.0
BREGNHØJ Mathias,164.0
KOERDT Bjorn,164.0
ROULAND Louis,163.0
CASTELLON Jan,162.0
VAN ENGELEN Adne,161.0
MACÍAS César,161.0
LEITÃO Iúri,160.0
HALLER Marco,158.0
OLDANI Stefano,158.0
ZWIEHOFF Ben,158.0
CAMPRUBÍ Marcel,158.0
DENZ Nico,157.0
BJERG Mikkel,157.0
TSARENKO Kyrylo,156.0
HUERTAS Jason Andrey,155.0
RYAN Archie,155.0
ANTUNES Tiago,154.0
CADENA Edgar David,154.0
CUYLITS Mauro,154.0
DUNBAR Eddie,153.0
SCOTT Cameron,153.0
LAAS Martin,152.0
SCALCO Matteo,152.0
ERŽEN Žak,152.0
BERNARD Julien,151.0
BISSEGGER Stefan,151.0
PRONSKIY Vadim,150.0
BÉVORT Carl-Frederik,150.0
DE LA CALLE Hugo,150.0
RASCH Jesper,148.0
MAISONOBE Sam,148.0
SPARFEL Aubin,147.0
COVILI Luca,146.0
HOBBS Noah,146.0
MAGAGNOTTI Alessio,146.0
NICOLAU Joel,145.0
MAESTRI Mirco,144.0
HAYTER Ethan,144.0
BRUSTENGA Marc,144.0
DATI Tommaso,144.0
LEROUX Samuel,143.0
OLIVEIRA Rui,143.0
GRAAT Tijmen,143.0
TSVETKOV Nikita,143.0
TSISHKOU Raman,142.0
CAICEDO Jonathan Klever,142.0
VAN BOVEN Luca,142.0
VAN TRICHT Floris,142.0
VERONA Carlos,141.0
RUSSO Clément,141.0
VERRE Alessandro,141.0
HAMILTON Chris,140.0
SEVILLA Diego Pablo,140.0
BOICHIS Adrien,140.0
JASCH Lennart,140.0
GONZÁLEZ David,139.0
DUPONT Timothy,138.0
GLIVAR Gal,138.0
BELOHVOŠČIKS Kristiāns,138.0
MEEHAN Jamie,138.0
BRAVO Henrique,138.0
VAN BAARLE Dylan,137.0
ARTZ Huub,137.0
TRONCHON Bastien,137.0
SU Haoyu,137.0
LEONARD Michael,137.0
DARDER Sergi,136.0
JASIM AL-ALI Abdulla,136.0
VALTER Attila,135.0
LE BERRE Mathis,135.0
TONEATTI Davide,135.0
VAN DER TUUK Axel,134.0
HARDOUIN Louis,133.0
BLOEM Joren,132.0
BALMER Alexandre,131.0
RIVERA Brandon Smith,130.0
CRAPS Lars,130.0
LABROSSE Jordan,130.0
DE BOD Stefan,129.0
BARGUIL Warren,128.0
AFFINI Edoardo,128.0
PAGE Hugo,128.0
HOLTER Ådne,128.0
GOVEKAR Matevž,127.0
FERNÁNDEZ Samuel,127.0
LOUVEL Matis,126.0
PALETTI Luca,126.0
JACOBS Johan,124.0
THÉOT Killian,123.0
STAUNE-MITTET Johannes,123.0
BLEDDYN Oliver,123.0
STÜSSI Colin,122.0
JOHANSEN Julius,122.0
BUDZIŃSKI Marcin,122.0
REINDERS Elmar,121.0
VERVAEKE Louis,121.0
GHEBREIGZABHIER Amanuel,120.0
PAREDES Wilmar,120.0
KIELICH Timo,120.0
KRETSCHY Moritz,120.0
GUARDEÑO Jaume,120.0
PAJUR Romet,120.0
JEŽEK Václav,120.0
BARTA Will,119.0
DONNENWIRTH Tom,118.0
COSTA Rui,117.0
HERREGODTS Rune,117.0
PICKERING Finlay,117.0
PLANCKAERT Edward,116.0
PĘKALA Piotr,116.0
FROIDEVAUX Robin,116.0
CHRISTIE-JOHNSTON Alastair,116.0
BROWNING Fergus,116.0
AMAN Awet,116.0
LOULERGUE Victor,116.0
VARGAS Walter,115.0
ZUKOWSKY Nickolas,115.0
VAN DER LEE Jardi Christiaan,115.0
CALZONI Walter,114.0
UHLIG Henri,112.0
PEDERSEN Rasmus Søjberg,112.0
KOCKELMANN Mathieu,112.0
WARBASSE Larry,111.0
PLUTO Mārtiņš,111.0
VEZIE Maxime,111.0
PELLAUD Simon,110.0
TERCERO Fernando,110.0
CAPIOT Amaury,109.0
VIVIANI Elia,109.0
SWIFT Connor,109.0
PRADES Benjamín,108.0
MASNADA Fausto,108.0
JAMAICA Javier Ernesto,108.0
DEHAIRS Simon,108.0
FOX Matthew,108.0
CHRISTOPHERSEN Cedrik Bakke,108.0
SCHACHMANN Maximilian,107.0
SCOTSON Callum,107.0
HUBY Antoine,107.0
CAMARGO Diego Andrés,107.0
VAN GESTEL Dries,106.0
CATTANEO Mattia,106.0
GERMANI Lorenzo,106.0
PITA Cristian David,105.0
ROTA Lorenzo,105.0
ASGREEN Kasper,105.0
EINHORN Itamar,105.0
DE PRETTO Davide,105.0
MIFSUD Andrea,104.0
CROZZOLO Fabrizio,104.0
COVI Alessandro,103.0
RUTSCH Jonas,103.0
POULARD Athit,103.0
MEIJERS Jeroen,102.0
OLIVEIRA Nelson,102.0
KONYCHEV Alexander,102.0
SINSCHEK Nils,102.0
JUARISTI Txomin,102.0
ÄRM Rait,102.0
BOU Joan,101.0
MOSCON Gianni,100.0
ANDERSEN Mads,100.0
KENCH Josh,100.0
BELLETTA Dario Igor,100.0
DONATI Davide,100.0
OOMEN Sam,99.0
THEUNS Edward,99.0
APARICIO Mario,99.0
REINDERINK Pepijn,99.0
VADIC Baptiste,99.0
REMIJN Senna,99.0
SÜTTERLIN Jasha,98.0
BUDIAK Anatolii,98.0
MURGUIALDAY Jokin,98.0
MIMOUNI Oussama Abdellah,98.0
PACHER Quentin,97.0
SYRITSA Gleb,97.0
DAUPHIN Florian,97.0
RAILEANU Cristian,96.0
VAHTRA Norman,96.0
GAFFURI Mattia,96.0
THIERRY Pierre,96.0
LANHOVE Milan,96.0
VEISTROFFER Baptiste,96.0
TURCONI Filippo,96.0
LIEPIŅŠ Emīls,95.0
VAN ASBROECK Tom,95.0
SMIT Willie,95.0
BAIS Mattia,95.0
STEWART Jake,95.0
VAN DEN BOSSCHE Fabio,95.0
ROMELE Alessandro,95.0
BORGO Alessandro,95.0
NIYONKURU Samuel,94.0
NEUMAN Dominik,93.0
EEKHOFF Nils,93.0
ADAMIETZ Johannes,93.0
VERGALLITO Luca,93.0
DE POOTER Dries,93.0
BLACKMORE Joseph,93.0
KERCKHAERT Jochem,92.0
LÓPEZ Jordi,92.0
FREDHEIM Stian,92.0
JUUL-JENSEN Christopher,91.0
TEUGELS Lennert,91.0
PETER Jannis,91.0
GACHIGNARD Thomas,91.0
PŘIDAL Tomáš,91.0
MEINTJES Louis,90.0
SWIFT Ben,90.0
CRAS Steff,90.0
SAINBAYAR Jambaljamts,90.0
CARR Simon,90.0
BARTHE Cyril,90.0
THORNLEY Callum,90.0
GEOGHEGAN HART Tao,89.0
PEDERSEN Casper,89.0
BONNET Thomas,89.0
DE PESTEL Sander,89.0
BURATTI Nicolò,89.0
STANNARD Robert,88.0
IRIBAR Unai,88.0
WALLENBORN Arno,88.0
JANSE VAN RENSBURG Reinardt,87.0
RICKAERT Jonas,87.0
SKAARSETH Anders,87.0
CONCI Nicola,87.0
LOZANO Juan Pedro,87.0
DÉMARE Arnaud,86.0
MATTHEIS Oliver,86.0
ROCHAS Rémy,86.0
BURGAUDEAU Mathieu,86.0
MELLANO Ludovico Maria,86.0
HAIG Jack,85.0
SHAW James,85.0
GUTIÉRREZ Jorge,85.0
VAN MECHELEN Vlad,85.0
FORMOLO Davide,84.0
BRAMBILLA Gianluca,84.0
CALLEJAS Edison Alejandro,84.0
BOIVIN Guillaume,83.0
MOSCA Jacopo,83.0
WHITEHOUSE Daniel,83.0
BARBIER Pierre,83.0
DE VRIES Hartthijs,83.0
GUERNALEC Thibault,83.0
CHAMBERLAIN Oscar,83.0
BOUGLAS Georgios,82.0
LAMPAERT Yves,82.0
KRISTOFF Alexander,82.0
GOLDSTEIN Omer,82.0
FRĄTCZAK Radosław,82.0
SENTJENS Sente,82.0
NOVAK Domen,81.0
REIS Rafael,80.0
RAPP Jonas,80.0
NABERMAN Tim,80.0
MACIEJUK Filip,80.0
VAN UDEN Casper,80.0
NYS Thibau,80.0
HOOGENDOORN Roy,80.0
LAU Wan Yau Vincent,79.0
RAISBERG Nadav,79.0
MIKUTIS Aivaras,79.0
SORARRAIN Gorka,79.0
LASTRA Jonathan,78.0
DOWNES Brandon,78.0
NIELSEN Sebastian,78.0
SILVA Pedro,78.0
SCHRETTL Marco,78.0
MILESI Nicolas,78.0
DRIESEN Niels,78.0
ZOMERMAAND Jurgen,78.0
JUNGELS Bob,77.0
ARASHIRO Yukiya,77.0
FERRON Valentin,77.0
MUGISHA Moise,77.0
FAURA José Luis,77.0
CÔTÉ Pier-André,76.0
KUERE NOUNAWE Rodrigue Eric,76.0
PRIETO José Juan,76.0
BUCHMANN Emanuel,75.0
GRIGNARD Sébastien,75.0
COBARRUBIA Leonardo,75.0
MIHOLJEVIĆ Fran,75.0
MANENTI Marco,75.0
RENARD-HAQUIN Henri-François,75.0
BYSTRØM Sven Erik,74.0
O'BRIEN Kelland,74.0
