Meno jazdca,Tím,Kategória,Cena
"F. VAN DEN BOSSCHE","Soudal Quick-Step","All-rounders","7"
"F. VAN TRICHT","NSN Cycling Team","All-rounders","7"
"A. SHMIDT","Netcompany Ineos","All-rounders","7"
"S. GUALDI","Lotto Intermarché","All-rounders","7"
"L. TAMINIAUX","Lotto Intermarché","All-rounders","7"
"R. VAN SINTMAARTENSDIJK","Lotto Intermarché","All-rounders","7"
"S. NORSGAARD","Lidl-Trek","All-rounders","7"
"A. CHAMBERLAIN","Decathlon CMA CGM Team","All-rounders","7"
"J. MEEHAN","Cofidis","Climbers","7"
"S. SENTJENS","Alpecin-Premier Tech","All-rounders","7"
"S. FERNANDEZ RODRIGUEZ","Burgos Burpellet-BH","Climbers","7"
"L. VAN BOVEN","Lotto Intermarché","All-rounders","7"
"H. DE LA CALLE ARANGO","Burgos Burpellet-BH","Climbers","7"
"J. FAURA ASENSIO","Burgos Burpellet-BH","All-rounders","7"
"V. BRAET","Lotto Intermarché","All-rounders","7"
"O. LE GAC","Groupama-FDJ United","All-rounders","7"
"I. ELOSEGUI MOMEÑE","Equipo Kern Pharma","All-rounders","7"
"U. IRIBAR JAUREGI","Equipo Kern Pharma","Climbers","7"
"S. DE PESTEL","Decathlon CMA CGM Team","All-rounders","7"
"J. ARCAS","Movistar Team","All-rounders","7"
"M. PAASSCHENS","Bahrain Victorious","All-rounders","7"
"O. VERGAERDE","Lidl-Trek","All-rounders","7"
"P. GAMPER","Team Jayco AlUla","All-rounders","7"
"O. PEACE","Team Picnic PostNL","All-rounders","6"
"P. ALLEGAERT","Cofidis","All-rounders","6"
"L. DE VYLDER","Alpecin-Premier Tech","All-rounders","6"
"R. ERMAKOV","Bahrain Victorious","All-rounders","6"
"P. MIQUEL DELGADO","Bahrain Victorious","All-rounders","6"
"J. VAN DEN BERG","Team Picnic PostNL","All-rounders","6"
"P. OURSELIN","Cofidis","All-rounders","6"
"R. TENE","NSN Cycling Team","All-rounders","5"
"L. BELMANS","Alpecin-Premier Tech","All-rounders","5"
