rank,name,nationality,team,points,rider_url
412,ADRIÀ Roger,ES,Movistar Team,112.0,https://www.procyclingstats.com/rider/roger-adria
413,MIFSUD Andrea,MT,Team Polti VisitMalta,112.0,https://www.procyclingstats.com/rider/andrea-mifsud
414,NAESEN Oliver,BE,Decathlon CMA CGM Team,112.0,https://www.procyclingstats.com/rider/oliver-naesen
415,HOLTER Ådne,NO,Uno-X Mobility,111.0,https://www.procyclingstats.com/rider/adne-holter
416,BISSEGGER Stefan,CH,Decathlon CMA CGM Team,111.0,https://www.procyclingstats.com/rider/stefan-bissegger
417,MOLARD Rudy,FR,Groupama - FDJ United,111.0,https://www.procyclingstats.com/rider/rudy-molard
418,VAN DEN BROEK Frank,NL,Team Picnic PostNL,110.0,https://www.procyclingstats.com/rider/frank-van-den-broek
419,NICOLAU Joel,ES,Caja Rural - Seguros RGA,109.0,https://www.procyclingstats.com/rider/joel-nicolau
420,BUDZIŃSKI Marcin,PL,MBH Bank CSB Telecom Fort,108.0,https://www.procyclingstats.com/rider/marcin-budzinski
421,PALETTI Luca,IT,Bardiani CSF 7 Saber,108.0,https://www.procyclingstats.com/rider/luca-paletti
422,MURGUIALDAY Jokin,ES,Euskaltel - Euskadi,108.0,https://www.procyclingstats.com/rider/jokin-murguialday-elorza
423,ALLENO Clément,FR,Burgos Burpellet BH,107.0,https://www.procyclingstats.com/rider/clement-alleno
424,CHUMIL Sergio Geovani,GT,Burgos Burpellet BH,107.0,https://www.procyclingstats.com/rider/sergio-geovani-chumil-gonzalez
425,BLOEM Joren,NL,Unibet Rose Rockets,107.0,https://www.procyclingstats.com/rider/joren-bloem2
426,PLUTO Mārtiņš,LV,Energus Cycling Team,107.0,https://www.procyclingstats.com/rider/martins-pluto
427,MEURISSE Xandro,BE,Pinarello Q36.5 Pro Cycling Team,105.0,https://www.procyclingstats.com/rider/xandro-meurisse
428,BIZKARRA Mikel,ES,Euskaltel - Euskadi,105.0,https://www.procyclingstats.com/rider/mikel-bizkarra
429,JUARISTI Txomin,ES,Euskaltel - Euskadi,105.0,https://www.procyclingstats.com/rider/txomin-juaristi
430,BARBIER Pierre,FR,Terengganu Cycling Team,104.0,https://www.procyclingstats.com/rider/pierre-barbier
431,CÔTÉ Pier-André,CA,NSN Cycling Team,104.0,https://www.procyclingstats.com/rider/pier-andre-cote
432,GOVEKAR Matevž,SI,Bahrain - Victorious,104.0,https://www.procyclingstats.com/rider/matevz-govekar
433,CROZZOLO Fabrizio,AR,Team Polti VisitMalta,104.0,https://www.procyclingstats.com/rider/fabrizio-crozzolo
434,POULARD Athit,TH,Roojai Insurance Winspace,103.0,https://www.procyclingstats.com/rider/athit-poulard
435,DEGENKOLB John,DE,Team Picnic PostNL,103.0,https://www.procyclingstats.com/rider/john-degenkolb
436,SKUJIŅŠ Toms,LV,Lidl - Trek,103.0,https://www.procyclingstats.com/rider/toms-skujins
437,ALEOTTI Giovanni,IT,Red Bull - BORA - hansgrohe,103.0,https://www.procyclingstats.com/rider/giovanni-aleotti
438,RUBIO Einer,CO,Movistar Team,103.0,https://www.procyclingstats.com/rider/einer-rubio
439,BELLETTA Dario Igor,IT,Team Polti VisitMalta,102.0,https://www.procyclingstats.com/rider/dario-igor-belletta
440,DONATI Davide,IT,Red Bull - BORA - hansgrohe Rookies,102.0,https://www.procyclingstats.com/rider/davide-donati
441,DE KLEIJN Arvid,NL,Tudor Pro Cycling Team,102.0,https://www.procyclingstats.com/rider/arvid-de-kleijn
442,HOPKINS Dylan,AU,Roojai Insurance Winspace,101.0,https://www.procyclingstats.com/rider/dylan-hopkins
443,VALTER Attila,HU,Bahrain - Victorious,101.0,https://www.procyclingstats.com/rider/attila-valter
444,TERCERO Fernando,ES,Team Polti VisitMalta,101.0,https://www.procyclingstats.com/rider/fernando-tercero-lopez
445,BORGO Alessandro,IT,Bahrain - Victorious,100.0,https://www.procyclingstats.com/rider/alessandro-borgo
446,EIKING Odd Christian,NO,Unibet Rose Rockets,99.0,https://www.procyclingstats.com/rider/odd-christian-eiking
447,KERCKHAERT Jochem,NL,BEAT CC p/b Saxo,99.0,https://www.procyclingstats.com/rider/jochem-kerckhaert
